time,mode,label,step_index,users,duration_sec,connect_success_pct,connect_p95_ms,sse_read_errors,sse_events,tick_events,subscribe_success_pct,unsubscribe_success_pct,subscribe_p95_ms,unsubscribe_p95_ms,pass,fail_reasons,stop_reason
2026-02-12T08:38:39.351Z,step,step-1,1,1,5,0.00,753.0,0,0,0,0.00,0.00,0.0,0.0,PASS,,Duration complete.
2026-02-12T08:38:44.467Z,step,step-2,2,2,5,0.00,108.1,0,0,0,0.00,0.00,0.0,0.0,PASS,,Duration complete.
